## characters mapping for windows-1250 encoding
## make sure this file is saved in proper encoding!
## :<symbol>, <x>, <y>, <width>, <height>

## row 2x
:ﬂ, 129, 123, 5, 13

## row Ex
:‡, 119, 259, 3, 13
:·, 12, 140, 4, 13
:‚, 20, 140, 4, 13
:„, 4, 276, 4, 13
:‰, 36, 140, 4, 13
:Â, 12, 276, 2, 13
:Ê, 18, 276, 3, 13
:Á, 63, 140, 3, 13
:Ë, 25, 276, 3, 13
:È, 78, 140, 4, 13
:Í, 32, 276, 4, 13
:Î, 94, 140, 4, 13
:Ï, 40, 276, 4, 13
:Ì, 108, 140, 2, 13
:Ó, 113, 140, 3, 13
:Ô, 48, 276, 7, 13

## row Fx
:, 59, 276, 5, 13
:Ò, 68, 276, 4, 13
:Ú, 76, 276, 4, 13
:Û, 28, 157, 4, 13
:Ù, 36, 157, 4, 13
:ı, 84, 276, 5, 13
:ˆ, 52, 157, 4, 13
:˜, 60, 157, 5, 13
:¯, 93, 276, 3, 13
:˘, 100, 276, 4, 13
:˙, 87, 157, 4, 13
:˚, 108, 276, 5, 13
:¸, 103, 157, 4, 13
:˝, 111, 157, 4, 13
:˛, 117, 276, 3, 13
